bandwidth,centrality,local_time,Instance,Edges,Nodes,Global Time (s)
1616,Closeness,0.010850906372070312,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1473,Closeness,0.010746479034423828,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1692,Closeness,0.010522842407226562,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1719,Closeness,0.01079559326171875,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1605,Closeness,0.010714530944824219,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1633,Closeness,0.012323856353759766,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1495,Closeness,0.01072835922241211,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1672,Closeness,0.010748624801635742,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1708,Degree,0.012926101684570312,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1707,Degree,0.011227607727050781,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1905,Degree,0.011061668395996094,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1685,Degree,0.01088857650756836,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1580,Degree,0.012932062149047852,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1655,Degree,0.011248111724853516,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1703,Degree,0.011068105697631836,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1739,Degree,0.010887384414672852,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1644,Degree,0.010870695114135742,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1753,Degree,0.010783672332763672,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1623,Degree,0.30608510971069336,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1642,Degree,0.010706901550292969,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1714,Degree,0.010784149169921875,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1588,Degree,0.010679244995117188,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1715,Degree,0.010762214660644531,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1556,Degree,0.010760784149169922,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1698,Degree,0.01081395149230957,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1666,Degree,0.010940313339233398,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1718,Degree,0.010542869567871094,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1666,Degree,0.010788917541503906,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1585,Degree,0.012566089630126953,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1692,Degree,0.010734081268310547,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1702,Degree,0.01074075698852539,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1734,Degree,0.010695695877075195,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1689,Degree,0.010679960250854492,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1525,Degree,0.010771036148071289,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1672,Degree,0.01087045669555664,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1716,Degree,0.010901689529418945,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1731,Degree,0.012823343276977539,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1734,Degree,0.010930061340332031,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1912,Harmonic Centrality,0.010885238647460938,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1596,Harmonic Centrality,0.011847734451293945,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1889,Harmonic Centrality,0.010782957077026367,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
1631,Harmonic Centrality,0.013878822326660156,vsp_bump2_e18_aa01_model1_crew1,9169,2000,29.672577619552612
